ID,Trajectory,Speed Change,Direction Change,Speed,Cluster
78.0,4.0,-0.08,0.0,0.08,2
78.0,4.0,0.21,2.87,0.0,2
78.0,4.0,-0.19,1.06,0.21,2
78.0,4.0,0.21,-2.87,0.02,2
78.0,4.0,-0.13,0.37,0.23,2
78.0,4.0,-0.08,2.5,0.1,2
78.0,4.0,0.06,0.7899999999999998,0.02,2
78.0,4.0,0.0,-2.5999999999999996,0.08,2
78.0,4.0,0.13,-0.8200000000000001,0.08,2
78.0,4.0,-0.21,0.0,0.21,2
78.0,4.0,0.09,-1.62,0.0,2
78.0,4.0,0.01,1.75,0.09,2
78.0,4.0,0.09,2.82,0.1,2
78.0,4.0,-0.13,-2.21,0.19,2
78.0,4.0,-0.03,1.11,0.06,2
78.0,4.0,0.14,3.1331853071795863,0.03,2
78.0,4.0,-0.15,2.36,0.17,2
78.0,4.0,-0.02,0.0,0.02,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.0,0.0,0.0,2
78.0,4.0,0.68,-2.4,0.0,2
78.0,4.0,0.0399999999999999,-2.3631853071795863,0.68,2
78.0,4.0,-0.62,-2.16,0.72,2
78.0,4.0,0.1,3.0,0.1,2
78.0,4.0,0.0999999999999999,-3.0,0.2,2
78.0,4.0,-0.3,0.0,0.3,2
78.0,4.0,0.09,1.1,0.0,2
78.0,4.0,0.15,0.4999999999999999,0.09,2
78.0,4.0,-0.1699999999999999,1.2000000000000002,0.24,2
78.0,4.0,0.0,-2.16,0.07,2
78.0,4.0,0.06,-2.25,0.07,2
78.0,4.0,0.53,-3.003185307179586,0.13,2
78.0,4.0,-0.27,0.1199999999999998,0.66,2
78.0,4.0,-0.32,2.5831853071795865,0.39,2
78.0,4.0,-0.05,2.55,0.07,2
78.0,4.0,0.0399999999999999,2.36,0.02,2
78.0,4.0,0.0,-2.04,0.06,2
78.0,4.0,0.79,-3.05,0.06,2
78.0,4.0,0.9,-1.633185307179586,0.85,2
78.0,4.0,-1.71,1.2200000000000002,1.75,2
78.0,4.0,0.49,-1.38,0.04,2
78.0,4.0,-0.53,0.0,0.53,2
78.0,4.0,0.24,2.1131853071795863,0.0,2
78.0,4.0,0.36,3.1,0.24,2
78.0,4.0,-0.57,0.1,0.6,2
78.0,4.0,0.24,-0.33,0.03,2
78.0,4.0,0.12,-0.2,0.27,2
78.0,5.0,0.38,-1.0599999999999998,0.65,2
78.0,5.0,-0.8500000000000001,-1.4500000000000002,1.03,2
78.0,5.0,-0.0799999999999999,-1.66,0.18,2
78.0,5.0,0.61,-2.1931853071795864,0.1,2
78.0,5.0,-0.3999999999999999,-1.2099999999999995,0.71,2
78.0,5.0,-0.31,0.0,0.31,2
78.0,5.0,0.28,0.5999999999999999,0.0,2
78.0,5.0,0.39,2.1131853071795863,0.28,2
78.0,5.0,-0.45,-2.4331853071795866,0.67,2
78.0,5.0,-0.16,1.43,0.22,2
78.0,5.0,0.32,-2.98,0.06,2
78.0,5.0,-0.34,-0.3,0.38,2
78.0,5.0,0.5499999999999999,-2.8231853071795863,0.04,2
78.0,5.0,0.63,-0.91,0.59,2
78.0,5.0,-1.11,-1.2999999999999998,1.22,2
78.0,5.0,0.0,-0.79,0.11,2
78.0,5.0,1.35,-1.19,0.11,2
78.0,5.0,-0.91,0.74,1.46,2
78.0,5.0,-0.39,-2.4499999999999997,0.55,2
78.0,5.0,0.1899999999999999,-1.633185307179586,0.16,2
78.0,5.0,-0.3199999999999999,2.173185307179587,0.35,2
78.0,5.0,0.69,-2.5731853071795863,0.03,2
78.0,5.0,-0.62,-3.12,0.72,2
78.0,5.0,0.16,1.38,0.1,2
78.0,5.0,0.29,1.81,0.26,2
78.0,5.0,-0.52,2.5031853071795864,0.55,2
78.0,5.0,0.18,0.2799999999999998,0.03,2
78.0,5.0,-0.0999999999999999,2.87,0.21,2
78.0,5.0,0.12,-2.9,0.11,2
78.0,5.0,0.0599999999999999,-2.3931853071795866,0.23,2
78.0,5.0,0.3,-0.52,0.29,2
78.0,5.0,-0.4599999999999999,-1.72,0.59,2
78.0,5.0,0.3,2.52,0.13,2
78.0,5.0,0.49,-1.7000000000000002,0.43,2
78.0,5.0,-0.81,0.02,0.92,2
78.0,5.0,-0.07,1.19,0.11,2
78.0,5.0,-0.04,0.0,0.04,2
78.0,5.0,1.81,0.28,0.0,2
78.0,6.0,-1.2400000000000002,0.07,1.36,2
