Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
36.0,58.56305220560171,33.829826366622,36.0,60.576343389227986,33.936944549903274,36.0,51.252331032184884,33.247250055894256,36,42.391680769389495,47.425383895169944,36.0,64.85708333179355,43.56312532257289,36.0,54.47158914175816,34.68652503890917
37.0,58.56305220560171,33.829826366622,37.0,61.1595763573423,33.89111013850197,37.0,51.36006289313082,33.39688832592219,37,42.391680769389495,47.425383895169944,37.0,64.36584416078404,43.758338486310095,37.0,55.226116416975856,34.7544107013382
38.0,58.56305220560171,33.829826366622,38.0,61.30518122459762,33.653233689721674,38.0,51.139725940534845,33.39325649058446,38,41.637055893661454,48.318603864405304,38.0,64.36584416078404,43.758338486310095,38.0,55.26480327791069,35.272567216772586
39.0,58.56305220560171,33.829826366622,39.0,61.498610349721275,33.37917995452881,39.0,51.22329082712531,33.09890885744244,39,41.637055893661454,48.318603864405304,39.0,64.36584416078404,43.758338486310095,39.0,54.90911754593253,35.83967155544087
40.0,58.56305220560171,33.829826366622,40.0,61.228012326173484,33.55954755609855,40.0,51.14581736084074,33.023700604680926,40,41.637055893661454,48.318603864405304,40.0,64.36584416078404,43.758338486310095,40.0,54.569779394427314,36.37007973063737
41.0,58.56305220560171,33.829826366622,41.0,60.50039293267764,33.76934724021703,41.0,50.97239089664072,33.03932480979711,41,41.637055893661454,48.318603864405304,41.0,64.36584416078404,43.758338486310095,41.0,54.86484859220218,36.61522009363398
42.0,58.56305220560171,33.829826366622,42.0,60.39631616463885,33.397975326515734,42.0,51.0680393204093,32.96697013732046,42,41.637055893661454,48.318603864405304,42.0,64.36584416078404,43.758338486310095,42.0,55.3136462776456,37.084688232745975
43.0,58.56305220560171,33.829826366622,43.0,60.75951669213828,33.33003106107935,43.0,51.06956217484549,32.87458115816116,43,41.637055893661454,48.318603864405304,43.0,64.36584416078404,43.758338486310095,43.0,55.44584947847761,37.65983467688784
44.0,58.56305220560171,33.829826366622,44.0,61.04097958316561,33.44556760136038,44.0,51.19699185423087,32.78426752053201,44,41.637055893661454,48.318603864405304,44.0,64.36584416078404,43.758338486310095,44.0,55.53236050857231,38.14181389287114
45.0,58.56305220560171,33.829826366622,45.0,60.860852149664424,33.867703133262694,45.0,50.988738331827335,33.002628640737385,45,39.66103069926612,47.860930021386594,45.0,64.6760420933133,44.04069417808205,45.0,56.02745949162636,38.6674937158823
46.0,58.56305220560171,33.829826366622,46.0,60.49846511532087,34.841318785678595,46.0,50.84221999417059,33.295938610099256,46,39.880149122327566,47.93847279064357,46.0,64.6760420933133,44.04069417808205,46.0,56.06888750731014,39.01935009798035
47.0,58.56305220560171,33.829826366622,47.0,59.92721539584454,36.070250967517495,47.0,50.936650132294744,33.29749510809779,47,39.99509196053259,48.60574859380722,47.0,64.67451910977252,44.13308315211907,47.0,55.975675739580765,38.943882366176695
48.0,58.56305220560171,33.829826366622,48.0,59.452223427942954,37.189872996881604,48.0,50.492321380530484,33.51196499587968,48,39.99509196053259,48.60574859380722,48.0,64.57978447014466,44.1500043226406,48.0,55.86703017633408,38.84967742441222
49.0,58.56305220560171,33.829826366622,49.0,59.647379732574336,37.76605723472312,49.0,50.14364096545614,33.654080209322274,49,39.99509196053259,48.60574859380722,49.0,64.57978447014466,44.1500043226406,49.0,56.22241128794849,38.30105091817677
50.0,58.56305220560171,33.829826366622,50.0,59.98001719452441,37.64216070296243,50.0,49.841261919704266,33.852407061029226,50,39.99509196053259,48.60574859380722,50.0,64.57978447014466,44.1500043226406,50.0,57.05116116453428,37.68629600852728
51.0,58.56305220560171,33.829826366622,51.0,59.76455371710472,37.34288395475596,51.0,49.85760944336653,33.81571089103818,51,39.99509196053259,48.60574859380722,51.0,64.57978447014466,44.1500043226406,51.0,57.08202876383439,37.72377045825124
