#{"t_start": 1739893907.5547526, "env_id": "Xinjiekou-v0"}
r,l,t
0.0,12,38.932428
0.0,12,38.998549
0.0,12,39.064881
0.0,12,39.131755
0.0,12,39.198327
0.0,12,39.265121
0.0,12,39.33191
0.0,12,39.400747
0.0,12,39.470566
0.0,12,39.537479
0.0,12,39.60427
0.0,12,39.670959
0.0,12,39.737005
0.0,12,39.803519
0.0,12,39.870135
0.0,12,39.936934
0.0,12,40.003015
0.0,12,40.069012
0.0,12,40.135534
0.0,12,40.201951
0.0,12,40.268167
0.0,12,40.334475
0.0,12,40.40185
0.0,12,40.4681
0.0,12,40.533934
0.0,12,40.600349
0.0,12,40.666916
0.0,12,40.73306
0.0,12,40.799341
0.0,12,40.86537
0.0,12,40.931791
0.0,12,40.997875
0.0,12,41.063601
0.0,12,41.129862
0.0,12,41.195964
0.0,12,41.262186
0.0,12,41.328324
0.0,12,41.395782
0.0,12,41.462041
0.0,12,41.528786
0.0,12,41.595647
0.0,12,41.66208
0.0,12,41.72872
0.0,12,41.79524
0.0,12,41.861737
0.0,12,41.928524
0.0,12,41.994994
0.0,12,42.061269
0.0,12,42.127442
0.0,12,42.194228
0.0,12,42.260365
0.0,12,42.32644
0.0,12,42.393418
0.0,12,42.459477
0.0,12,42.525446
0.0,12,42.591478
0.0,12,42.657814
0.0,12,42.724146
0.0,12,42.790008
0.0,12,42.856393
0.0,12,42.923406
0.0,12,42.989453
0.0,12,43.055769
0.0,12,43.122051
0.0,12,43.188116
0.0,12,43.254254
0.0,12,43.319933
0.0,12,43.386726
0.0,12,43.452999
0.0,12,43.518802
0.0,12,43.585002
0.0,12,43.651236
0.0,12,43.71762
0.0,12,43.783525
0.0,12,43.849932
0.0,12,43.916693
0.0,12,43.982636
0.0,12,44.048628
0.0,12,44.114589
0.0,12,44.181087
0.0,12,44.246986
0.0,12,44.312813
0.0,12,44.378625
0.0,12,44.445263
0.0,12,44.511137
0.0,12,44.57792
0.0,12,44.64388
0.0,12,44.709917
0.0,12,44.775981
0.0,12,44.842216
0.0,12,44.908964
0.0,12,44.97489
0.0,12,45.040906
0.0,12,45.107047
0.0,12,45.173082
0.0,12,45.239895
0.0,12,45.306067
0.0,12,45.375566
0.0,12,45.442838
0.0,12,45.509002
0.0,12,45.575136
0.0,12,45.64097
0.0,12,45.707096
0.0,12,45.773001
0.0,12,45.838583
0.0,12,45.906006
0.0,12,45.972255
0.0,12,46.038535
0.0,12,46.104083
0.0,12,46.170271
0.0,12,46.236607
0.0,12,46.30253
0.0,12,46.368632
0.0,12,46.435571
0.0,12,46.502027
0.0,12,46.567995
0.0,12,46.633748
0.0,12,46.700388
0.0,12,46.766972
0.0,12,46.833851
0.0,12,46.901148
0.0,12,46.967722
0.0,12,47.034813
0.0,12,47.101494
0.0,12,47.169313
0.0,12,47.2371
0.0,12,47.304268
0.0,12,47.372389
0.0,12,47.439213
0.0,12,47.506931
0.0,12,47.574039
0.0,12,47.641715
0.0,12,47.708928
0.0,12,47.775708
0.0,12,47.843153
