Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
832.0,38.421750054345466,226.19968238985166,832.0,32.900866424432024,236.4220961467363,832.0,21.874770464841276,257.82829597825184,832.0,48.387270492035896,208.97161506861448,832.0,44.86014691623859,231.94306817324832,832.0,43.53643655520864,239.6655501946807
833.0,38.69011120102368,227.10976390726864,833.0,33.066576356766745,237.82952167466283,833.0,22.828599847503938,259.17477947613224,833.0,50.07206495432183,215.6347193494439,833.0,45.03123754437547,233.97899855021387,833.0,43.933442283654585,240.4114070450887
834.0,38.893997197039425,228.11119678104296,834.0,32.869702288648114,239.2679365570657,834.0,23.471932465792634,260.25738610327244,834.0,47.82822832826059,220.92078419262543,834.0,45.1815124808345,235.3676871182397,834.0,44.34618601878174,241.15752334473655
835.0,39.20500384806655,229.299223523587,835.0,32.561443746322766,240.7784468200989,835.0,24.45936910249293,261.4750439655036,835.0,46.265193899860606,227.88152534049004,835.0,45.75884647318162,236.63403546717018,835.0,44.50377082033083,242.10274473112077
836.0,39.775738118449226,230.0109781101346,836.0,32.678721270523965,242.25900534773245,836.0,25.10605142416898,262.3543949271552,836.0,45.02361896634102,231.57610639370978,836.0,45.98750682955142,238.04249896807596,836.0,44.50032016355544,243.26710551278666
837.0,40.26351797708776,230.9801248391159,837.0,32.890122365090065,243.75959808425978,837.0,25.2958210806828,262.3020742293447,837.0,44.30769215943292,232.987482461147,837.0,46.07117424963508,239.65188346756622,837.0,44.6224692161195,244.45201946003363
838.0,40.731600297032855,232.18922358425334,838.0,32.48926310020033,245.1576851462014,838.0,25.13539565121755,262.48425830807537,838.0,44.01039664761629,233.83279168605804,838.0,46.304403231013566,240.783179984428,838.0,44.72674819268286,245.76601858390495
839.0,41.26019802794326,233.54718239279464,839.0,32.16983506153338,246.3907690490596,839.0,24.678689023829065,262.49521375773475,839.0,42.95320633123629,233.98171087820083,839.0,46.63023284112569,242.0268998579122,839.0,44.79386417195201,246.46947206184268
840.0,41.780267579248175,235.4225196284242,840.0,31.92331064969767,247.97622813750058,840.0,24.212541540618986,263.0789810102433,840.0,42.1886428440921,234.52359285904095,840.0,46.956062267301604,243.2706197439693,840.0,44.87641361448914,247.19166276883334
841.0,42.075535534648225,236.6102870744653,841.0,31.614747858257033,249.5052162441425,841.0,23.626178078120574,264.2706999136135,841.0,41.42377486440819,235.08395269606262,841.0,47.030692361528054,244.47323325369507,841.0,45.198079239344224,247.73296680906788
842.0,41.90414458839223,237.4576716804877,842.0,31.47899875731673,251.05553555348888,842.0,23.019302397267893,264.79669930785894,842.0,40.3577522035921,235.76872831955552,842.0,47.4761301582912,245.1459573493339,842.0,45.42775335384067,248.12489192420617
843.0,41.57598248717841,238.26550652924925,843.0,31.458288765512407,252.31202588276938,843.0,22.068018093705177,265.2061254340224,843.0,40.01953919301741,237.1863305810839,843.0,47.63767412560992,245.85096740350127,843.0,45.57690985919908,248.62638673186302
844.0,41.519326529465616,238.8375400621444,844.0,31.434837737469934,253.73481640499085,844.0,21.259898535558023,265.5254971161485,844.0,39.82114126882516,238.7171343723312,844.0,47.60457458242308,246.90394255751744,844.0,45.81927605508827,249.20334926759824
845.0,41.57131398958154,239.50377849396318,845.0,31.441644551232457,255.23203693237156,845.0,20.607331680483185,265.9583294969052,845.0,39.26290049601812,240.11262708017603,845.0,48.20190981728956,247.91186133772135,845.0,45.732057611690834,249.71943054860458
846.0,41.21380785899237,240.1817499352619,846.0,31.703305041068234,256.54862989485264,846.0,19.830079207429662,266.31517565157264,846.0,39.20015323976986,241.05421659955755,846.0,48.19185839151032,248.52162872813642,846.0,45.398513318854384,249.89876068383455
847.0,40.71709605527576,240.70956426113844,847.0,31.854190239915624,257.9003626415506,847.0,19.0001310382504,267.0038440944627,847.0,39.044805217534304,241.88338285544887,847.0,48.24414990970399,249.16938942996785,847.0,45.15178258088417,250.54159234045073
848.0,40.33085514570121,241.22071670927107,848.0,31.940296062617563,259.36192459147424,848.0,17.60848782758694,267.38753012754023,848.0,39.278339468408376,242.99620139272884,848.0,48.22201549063902,249.5571637977846,848.0,44.83235310786404,251.77467591268942
