second	id	x	y	z
2088	1	-448.1631	-0.6139	52461.4384	0
2089	1	-448.1686	-0.6139	52461.4367	0
2090	1	-448.1760	-0.6139	52461.4364	0
2091	1	-448.1748	-0.6139	52461.4234	0
2092	1	-448.1805	-0.6139	52461.4121	0
2093	1	-448.1750	-0.6139	52461.4081	0
2094	1	-448.1794	-0.6139	52461.4003	0
2095	1	-448.1810	-0.6139	52461.4108	0
2096	1	-448.1809	-0.6139	52461.4085	0
2097	1	-448.1722	-0.6139	52461.4012	0
2098	1	-448.1476	-0.6139	52461.3854	0
2099	1	-448.1386	-0.6139	52461.3664	0
2100	1	-448.1340	-0.6139	52461.3595	0
2101	1	-448.1261	-0.6139	52461.3638	0
2102	1	-448.1260	-0.6139	52461.3657	0
2103	1	-448.1346	-0.6139	52461.3601	0
2104	1	-448.1371	-0.6139	52461.3449	0
2105	1	-448.1412	-0.6139	52461.3394	0
2106	1	-448.1457	-0.6139	52461.3310	0
2107	1	-448.1424	-0.6139	52461.3346	0
2108	1	-448.1339	-0.6139	52461.3363	0
2109	1	-448.1281	-0.6139	52461.3371	0
2110	1	-448.1227	-0.6139	52461.3244	0
2111	1	-448.1122	-0.6139	52461.3131	0
2112	1	-448.1126	-0.6139	52461.3025	0
2113	1	-448.1102	-0.6139	52461.3053	0
2114	1	-448.1161	-0.6139	52461.3133	0
2115	1	-448.1232	-0.6139	52461.3098	0
2116	1	-448.1303	-0.6139	52461.3086	0
2117	1	-448.1259	-0.6139	52461.3017	0
2118	1	-448.1296	-0.6139	52461.2860	0
2119	1	-448.1271	-0.6139	52461.2737	0
2120	1	-448.1098	-0.6139	52461.2692	0
2121	1	-448.0873	-0.6139	52461.2546	0
2122	1	-448.0784	-0.6139	52461.2492	0
2123	1	-448.0689	-0.6139	52461.2475	0
2124	1	-448.0666	-0.6139	52461.2471	0
2125	1	-448.0600	-0.6139	52461.2472	0
2126	1	-448.0617	-0.6139	52461.2474	0
2127	1	-448.0726	-0.6139	52461.2344	0
2128	1	-448.0961	-0.6139	52461.2363	0
2129	1	-448.1152	-0.6139	52461.2306	0
2130	1	-448.1230	-0.6139	52461.2286	0
2131	1	-448.1290	-0.6139	52461.2281	0
2132	1	-448.1249	-0.6139	52461.2347	0
2133	1	-448.1140	-0.6139	52461.2307	0
2134	1	-448.1048	-0.6139	52461.2226	0
2135	1	-448.0957	-0.6139	52461.2197	0
2136	1	-448.1109	-0.6139	52461.1987	0
2137	1	-448.1330	-0.6139	52461.1845	0
2138	1	-448.1459	-0.6139	52461.1793	0
2139	1	-448.1521	-0.6139	52461.1777	0
2140	1	-448.1659	-0.6139	52461.1706	0
2141	1	-448.1741	-0.6139	52461.1616	0
2142	1	-448.1790	-0.6139	52461.1453	0
2143	1	-448.1810	-0.6139	52461.1393	0
2144	1	-448.1888	-0.6139	52461.1307	0
2145	1	-448.2000	-0.6139	52461.1277	0
2146	1	-448.2080	-0.6139	52461.1269	0
2147	1	-448.2051	-0.6139	52461.1268	0
2148	1	-448.1995	-0.6139	52461.1271	0
2149	1	-448.1990	-0.6139	52461.1141	0
2150	1	-448.2024	-0.6139	52461.1094	0
2151	1	-448.1958	-0.6139	52461.1078	0
2152	1	-448.1916	-0.6139	52461.1009	0
2153	1	-448.1899	-0.6139	52461.0919	0
2154	1	-448.1795	-0.6139	52461.0952	0
2155	1	-448.1710	-0.6139	52461.0901	0
2156	1	-448.1661	-0.6139	52461.0884	0
2157	1	-448.1610	-0.6139	52461.0879	0
2158	1	-448.1584	-0.6139	52461.0879	0
2159	1	-448.1601	-0.6139	52461.0814	0
2160	1	-448.1571	-0.6139	52461.0857	0
2161	1	-448.1491	-0.6139	52461.0875	0
2162	1	-448.1446	-0.6139	52461.0883	0
2163	1	-448.1398	-0.6139	52461.0887	0
2164	1	-448.1373	-0.6139	52461.0889	0
2165	1	-448.1357	-0.6139	52461.0891	0
2166	1	-448.1289	-0.6139	52461.0892	0
2167	1	-448.1254	-0.6139	52461.0893	0
2168	1	-448.1236	-0.6139	52461.0894	0
2169	1	-448.1226	-0.6139	52461.0895	0
2170	1	-448.1161	-0.6139	52461.0895	0
2171	1	-448.1195	-0.6139	52461.0896	0
2172	1	-448.1205	-0.6139	52461.0896	0
2173	1	-448.1205	-0.6139	52461.0897	0
2174	1	-448.1146	-0.6139	52461.0897	0
2175	1	-448.1126	-0.6139	52461.0897	0
2176	1	-448.1121	-0.6139	52461.0898	0
2177	1	-448.1122	-0.6139	52461.0898	0
2178	1	-448.1103	-0.6139	52461.0898	0
2179	1	-448.1100	-0.6139	52461.0898	0
2180	1	-448.1102	-0.6139	52461.0899	0
2181	1	-448.1106	-0.6139	52461.0899	0
2182	1	-448.1089	-0.6139	52461.0899	0
2183	1	-448.1109	-0.6139	52461.0899	0
2184	1	-448.1175	-0.6139	52461.0899	0
2185	1	-448.1197	-0.6139	52461.0899	0
2186	1	-448.1223	-0.6139	52461.0899	0
2187	1	-448.1238	-0.6139	52461.0899	0
2188	1	-448.1300	-0.6139	52461.0900	0
2189	1	-448.1341	-0.6139	52461.0900	0
2190	1	-448.1338	-0.6139	52461.0900	0
2191	1	-448.1348	-0.6139	52461.0900	0
2192	1	-448.1336	-0.6139	52461.0900	0
2193	1	-448.1304	-0.6139	52461.0900	0
2194	1	-448.1203	-0.6139	52461.0900	0
2195	1	-448.1151	-0.6139	52461.0900	0
2196	1	-448.1146	-0.6139	52461.0900	0
2197	1	-448.1147	-0.6139	52461.0900	0
2198	1	-448.1032	-0.6139	52461.0900	0
2199	1	-448.0925	-0.6139	52461.0900	0
2200	1	-448.0909	-0.6139	52461.0900	0
2201	1	-448.0857	-0.6139	52461.0967	0
2202	1	-448.1025	-0.6139	52461.0992	0
2203	1	-448.1265	-0.6139	52461.0867	0
2204	1	-448.1372	-0.6139	52461.0821	0
